Year,Demographic,Unemployment Rate(%),,,Year,Mean Unemployment Rate (%)
2019,Male Youth (15-24),10.289,,,2019,6.63
2019,Male Adult (24+),1.89,,,2020,7.977
2019,Female Youth (15-24),12.736,,,2021,7.5975
2019,Female Adult (24+),1.605,,,2022,5.5536
2020,Male Youth (15-24),12.018,,,,
2020,Male Adult (24+),3.209,,,,
2020,Female Youth (15-24),13.518,,,,
2020,Female Adult (24+),3.163,,,,
2021,Male Youth (15-24),11.339,,,,
2021,Male Adult (24+),2.812,,,,
2021,Female Youth (15-24),13.568,,,,
2021,Female Adult (24+),2.671,,,,
2022,Male Youth (15-24),9.986,,,,
2022,Male Adult (24+),2.456,,,,
2022,Female Youth (15-24),10.967,,,,
2022,Female Adult (24+),2.58,,,,
