Date,Unemployment Rate,Inflation Rate,Consumer Price Index,YoY GDP Growth,QoQ GDP Growth,"GDP [RM, in billion]"
Jan-19,3.3,-0.7,120.5,4.7,1.5,342.4
Feb-19,3.3,-0.4,120.8,4.7,1.5,342.4
Mar-19,3.4,0.2,121.1,4.7,1.5,342.4
Apr-19,3.4,0.2,121.1,4.9,2.6,349.9
May-19,3.3,0.2,121.4,4.9,2.6,349.9
Jun-19,3.3,1.5,121.4,4.9,2.6,349.9
Jul-19,3.3,1.4,121.5,4.5,0.4,361.1
Aug-19,3.3,1.5,121.8,4.5,0.4,361.1
Sep-19,3.3,1.1,121.8,4.5,0.4,361.1
Oct-19,3.2,1.1,122,3.6,-1.7,370.6
Nov-19,3.2,0.9,122.1,3.6,-1.7,370.6
Dec-19,3.3,1,122.3,3.6,-1.7,370.6
Jan-20,3.2,1.6,122.4,0.7,-1.2,344.7
Feb-20,3.3,1.3,122.4,0.7,-1.2,344.7
Mar-20,3.9,-0.2,120.9,0.7,-1.2,344.7
Apr-20,5,-2.9,117.6,-16.9,-14.7,290.7
May-20,5.3,-2.9,117.9,-16.9,-14.7,290.7
Jun-20,4.9,-1.9,119.1,-16.9,-14.7,290.7
Jul-20,4.7,-1.3,119.9,-2.5,18.2,352.1
Aug-20,4.7,-1.4,120.1,-2.5,18.2,352.1
Sep-20,4.6,-1.4,120.1,-2.5,18.2,352.1
Oct-20,4.7,-1.5,120.2,-3.2,-2.6,358.7
Nov-20,4.8,-1.7,120,-3.2,-2.6,358.7
Dec-20,4.8,-1.4,120.6,-3.2,-2.6,358.7
Jan-21,4.9,-0.2,122.1,-0.2,1.4,343.9
Feb-21,4.8,0.1,122.5,-0.2,1.4,343.9
Mar-21,4.7,1.7,122.9,-0.2,1.4,343.9
Apr-21,4.6,4.7,123.1,16.3,-0.3,338.2
May-21,4.5,4.4,123.1,16.3,-0.3,338.2
Jun-21,4.8,3.4,123.2,16.3,-0.3,338.2
Jul-21,4.8,2.2,122.5,-4.2,-2.9,337.4
Aug-21,4.6,2,122.5,-4.2,-2.9,337.4
Sep-21,4.5,2.2,122.8,-4.2,-2.9,337.4
Oct-21,4.3,2.9,123.7,3.5,5.6,371.4
Nov-21,4.3,3.3,124,3.5,5.6,371.4
Dec-21,4.2,3.2,124.5,3.5,5.6,371.4
Jan-22,4.2,2.3,124.9,5.1,2.5,361.5
Feb-22,4.1,2.2,125.2,5.1,2.5,361.5
Mar-22,4.1,2.2,125.6,5.1,2.5,361.5
Apr-22,3.9,2.3,125.9,8.9,3.8,368.1
May-22,3.9,2.8,126.6,8.9,3.8,368.1
Jun-22,3.8,3.4,127.4,8.9,3.8,368.1
Jul-22,3.7,4.4,127.9,14.4,2,385.9
Aug-22,3.7,4.7,128.2,14.4,2,385.9
Sep-22,3.6,4.5,128.3,14.4,2,385.9
Oct-22,3.6,4,128.6,7.4,-0.9,398.7
Nov-22,3.6,4,129,7.4,-0.9,398.7
Dec-22,3.6,3.8,129.2,7.4,-0.9,398.7
Jan-23,3.6,,,,,
Feb-23,3.5,,,,,
Mar-23,3.5,,,,,
Apr-23,3.5,,,,,
May-23,3.5,,,,,
Jun-23,3.4,,,,,
Jul-23,3.4,,,,,
Aug-23,3.4,,,,,
Sep-23,3.4,,,,,
Oct-23,3.4,,,,,
Nov-23,3.3,,,,,
Dec-23,3.3,,,,,
